Date,Scale,Price,Category,Place,Selling_Type,Item_Name
2015-03-06,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-06,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-06,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-06,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-06,Per Kg,68.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-06,Per Kg,68.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-06,Per Kg,88.0,Rice,Pettah,Retail,Kekulu Red
2015-03-06,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-06,Per Kg,82.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-06,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-06,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-06,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-09,Per Kg,69.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-09,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-09,Per Kg,88.0,Rice,Pettah,Retail,Kekulu Red
2015-03-09,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-09,Per Kg,68.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-09,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-09,Per Kg,76.0,Rice,Pettah,Retail,Kekulu White
2015-03-09,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-09,Per Kg,73.0,Rice,Pettah,Wholesale,Nadu
2015-03-09,Per Kg,82.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-09,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-09,Per Kg,67.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-11,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-11,Per Kg,67.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-11,Per Kg,80.0,Rice,Pettah,Wholesale,Nadu
2015-03-11,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-11,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-11,Per Kg,84.0,Rice,Pettah,Retail,Nadu
2015-03-11,Per Kg,76.0,Rice,Pettah,Retail,Kekulu White
2015-03-11,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-11,Per Kg,82.0,Rice,Pettah,Retail,Kekulu Red
2015-03-11,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-11,Per Kg,78.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-11,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-12,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-12,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-12,Per Kg,67.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-12,Per Kg,83.0,Rice,Pettah,Wholesale,Samba
2015-03-12,Per Kg,78.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-12,Per Kg,77.0,Rice,Pettah,Retail,Kekulu White
2015-03-12,Per Kg,73.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-12,Per Kg,84.0,Rice,Pettah,Retail,Nadu
2015-03-12,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-12,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-12,Per Kg,82.0,Rice,Pettah,Retail,Kekulu Red
2015-03-12,Per Kg,80.0,Rice,Pettah,Wholesale,Nadu
2015-03-13,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-13,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-13,Per Kg,76.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-13,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-13,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-13,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-13,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-03-13,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-13,Per Kg,67.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-13,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-13,Per Kg,82.0,Rice,Pettah,Retail,Kekulu Red
2015-03-13,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-16,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-16,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-16,Per Kg,78.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-16,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-16,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-16,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-16,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-16,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-03-16,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-16,Per Kg,82.0,Rice,Pettah,Retail,Kekulu Red
2015-03-16,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-16,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-17,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-17,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-17,Per Kg,78.0,Rice,Pettah,Retail,Kekulu Red
2015-03-17,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-17,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-17,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-17,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-17,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-17,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-03-17,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-17,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-17,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-18,Per Kg,73.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-18,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-18,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-18,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-03-18,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-18,Per Kg,79.0,Rice,Pettah,Retail,Kekulu Red
2015-03-18,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-18,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-18,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-18,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-18,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-18,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-19,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-19,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-19,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-19,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-03-19,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-19,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-19,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-19,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-19,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-19,Per Kg,82.0,Rice,Pettah,Retail,Kekulu Red
2015-03-19,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-19,Per Kg,78.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-20,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-20,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-20,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-20,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-20,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-20,Per Kg,79.0,Rice,Pettah,Retail,Kekulu Red
2015-03-20,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-03-20,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-20,Per Kg,73.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-20,Per Kg,77.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-20,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-20,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-24,Per Kg,78.0,Rice,Pettah,Retail,Kekulu Red
2015-03-24,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-24,Per Kg,62.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-24,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-24,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-24,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-24,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-24,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-24,Per Kg,78.0,Rice,Pettah,Retail,Nadu
